ID,old_ID,experiment_version,gram_ACC_mean,gram_RT_median,pragm_ACC_mean,pragm_RT_median
2212,2212,adult_trog,0.764705882,6.20796,0.722222222,6.5663025
2213,2213,adult_trog,0.882352941,3.753,0.722222222,4.462
2214,2214,adult_trog,1,3.83849,0.888888889,6.1385125
2215,2215,adult_trog,1,4.38006,0.888888889,4.9676775
2301,2301,adult_trog,1,4.989005,0.888888889,5.9600425
2302,2302,adult_trog,1,3.762,0.833333333,4.0165
2303,2303,adult_trog,0.941176471,4.59807,0.277777778,0.14219
2305,2305,adult_trog,0.764705882,3.466115,0.777777778,5.0008075
2306,2306,adult_trog,1,3.67982,0.833333333,4.51049
2307,2307,adult_trog,0.882352941,2.967,0.944444444,3.5435
2308,2308,adult_trog,0.941176471,4.47278,0.833333333,7.172585
2309,2309,adult_trog,1,5.50534,0.888888889,7.89172
2310,2310,adult_trog,0.941176471,3.9012,0.722222222,6.57635
2311,2311,adult_trog,1,3.669,0.944444444,5.087
2312,2312,adult_trog,0.941176471,4.251945,0.833333333,5.2669175
2313,2313,adult_trog,1,4.4257,0.833333333,8.1755125
2314,2314,adult_trog,0.823529412,4.489,0.666666667,4.989
2315,2315,adult_trog,0.941176471,4.13923,0.944444444,5.1700725
2316,2316,adult_trog,1,5.4303,0.833333333,7.3988925
2317,2317,adult_trog,0.941176471,3.9966,0.722222222,7.03438
2318,2318,adult_trog,1,6.30764,0.833333333,7.8525925
2320,2320,adult_trog,0.764705882,4.139,0.666666667,6.89
2321,2321,adult_trog,0.941176471,3.59897,0.777777778,5.0237175
2322,2322,adult_trog,1,4.724515,0.722222222,5.38332
2323,2323,adult_trog,0.941176471,4.575935,0.888888889,5.207165
2324,2324,adult_trog,0.882352941,4.068955,0.888888889,4.416135
2325,2325,adult_trog,0.941176471,5.088545,0.555555556,6.79732
2326,2326,adult_trog,0.941176471,4.932,0.888888889,4.8915
2327,2327,adult_trog,0.941176471,3.961515,0.555555556,3.293385
2329,2329,adult_trog,0.941176471,5.72649,0.944444444,9.725045
2330,2330,adult_trog,1,4.22065,0.777777778,5.5657775
2331,2331,adult_trog,0.941176471,3.7519,0.666666667,4.78856
2332,2332,adult_trog,0.647058824,4.419715,0.722222222,4.7325425
2333,2333,adult_trog,0.941176471,3.96418,0.888888889,5.268285
2334,2334,adult_trog,0.882352941,4.116305,0.833333333,4.545165
2335,2335,adult_trog,0.941176471,5.157,0.777777778,6.4055
2336,2336,adult_trog,1,4.29009,0.833333333,6.6032475
2337,2337,adult_trog,1,4.38085,0.944444444,5.4872925
2338,2338,adult_trog,0.941176471,3.75638,0.722222222,6.190235
2339,2339,adult_trog,0.882352941,5.056,0.944444444,6.1175
2340,2340,adult_trog,1,4.623865,0.888888889,6.2942875
2341,2341,adult_trog,1,3.901925,0.722222222,6.2948075
2342,2342,adult_trog,0.764705882,5.813,0.666666667,8.0585
2344,2344,adult_trog,1,4.702325,0.944444444,6.2637725
2345,2345,adult_trog,0.941176471,4.217845,0.944444444,6.27789
2346,2346,adult_trog,0.941176471,4.029,0.944444444,7.173
2347,2347,adult_trog,0.941176471,3.878835,0.777777778,6.1778225
2348,2348,adult_trog,1,4.68713,0.833333333,6.3653
2349,2349,adult_trog,1,4.884535,0.722222222,5.4405525
2351,2351,adult_trog,1,4.75286,0.666666667,6.22861
2352,2352,adult_trog,0.941176471,4.286325,0.777777778,6.2312375
2353,2353,adult_trog,0.941176471,4.167,0.722222222,6.8385
2354,2354,adult_trog,1,3.86824,0.944444444,5.0164625
2355,2355,adult_trog,1,5.24942,0.666666667,5.344565
2356,2356,adult_trog,0.823529412,3.439125,0.833333333,4.7193825
2357,2357,adult_trog,0.941176471,4.89492,0.722222222,6.35484
2358,2358,adult_trog,1,4.35949,0.888888889,5.5075025
2359,2359,adult_trog,0.941176471,3.60369,0.777777778,3.4250125
